,0
1381,MAR08971
1382,MAR02705
1383,MAR08669
1384,MAR03105
1385,MAR01106
1386,MAR02344
1387,MAR02760
1388,MAR01451
1389,MAR01467
1390,MAR07069
1391,MAR02428
1392,MAR06283
1393,MAR00363
1394,MAR11418
1395,MAR01043
1396,MAR03158
1397,MAR10105
1398,MAR05655
1399,MAR07180
1400,MAR08427
1401,MAR01034
1402,MAR03008
1403,MAR05072
1404,MAR12163
1405,MAR01139
1406,MAR07866
1407,MAR06565
1408,MAR05593
1409,MAR07552
1410,MAR05787
1411,MAR06894
1412,MAR08677
1413,MAR08934
1414,MAR11374
1415,MAR03989
1416,MAR09879
1417,MAR03967
1418,MAR06332
1419,MAR07371
1420,MAR08151
1421,MAR11596
1422,MAR00980
1423,MAR04058
1424,MAR11308
1425,MAR10153
1426,MAR02255
1427,MAR06432
1428,MAR06636
1429,MAR03710
1430,MAR11698
1431,MAR13083
1432,MAR03726
1433,MAR03668
1434,MAR01519
1435,MAR02759
1436,MAR07857
1437,MAR04285
1438,MAR04750
1439,MAR00660
1440,MAR07686
1441,MAR02537
1442,MAR06562
1443,MAR05631
1444,MAR08501
1445,MAR04660
1446,MAR00345
1447,MAR01144
1448,MAR05748
1449,MAR06641
1450,MAR05052
1451,MAR01202
1452,MAR06746
1453,MAR03833
1454,MAR05996
1455,MAR07019
1456,MAR07153
1457,MAR08846
1458,MAR08533
1459,MAR05671
1460,MAR05379
1461,MAR02153
1462,MAR06616
1463,MAR01256
1464,MAR11590
1465,MAR06556
1466,MAR04841
1467,MAR02767
1468,MAR00310
1469,MAR00458
1470,MAR04797
1471,MAR07754
1472,MAR07028
1473,MAR00492
1474,MAR04385
1475,MAR01552
1476,MAR00391
1477,MAR03739
1478,MAR00173
1479,MAR04505
1480,MAR03287
1481,MAR03255
1482,MAR05919
1483,MAR07360
1484,MAR06145
1485,MAR07598
1486,MAR07737
1487,MAR05190
1488,MAR06484
1489,MAR07520
1490,MAR00064
1491,MAR00952
1492,MAR04772
1493,MAR11315
1494,MAR06570
1495,MAR05763
1496,MAR01976
1497,MAR03336
1498,MAR03646
1499,MAR03156
1500,MAR08488
1501,MAR02556
1502,MAR02327
1503,MAR04540
1504,MAR01624
1505,MAR03230
1506,MAR00410
1507,MAR00340
1508,MAR01146
1509,MAR01813
1510,MAR04348
1511,MAR02718
1512,MAR03699
1513,MAR04634
1514,MAR08726
1515,MAR10409
1516,MAR06359
1517,MAR08658
1518,MAR04567
1519,MAR00171
1520,MAR07931
1521,MAR00212
1522,MAR00427
1523,MAR04721
1524,MAR03675
1525,MAR05411
1526,MAR05041
1527,MAR08604
1528,MAR05179
1529,MAR04500
1530,MAR02289
1531,MAR00246
1532,MAR02480
1533,MAR02478
1534,MAR04365
1535,MAR07789
1536,MAR06552
1537,MAR07794
1538,MAR02190
1539,MAR12237
1540,MAR03228
1541,MAR00668
1542,MAR02742
1543,MAR03993
1544,MAR03395
1545,MAR04066
1546,MAR05714
1547,MAR05515
1548,MAR06770
1549,MAR03023
1550,MAR02737
1551,MAR00777
1552,MAR05326
1553,MAR05596
1554,MAR08477
1555,MAR02426
1556,MAR02294
1557,MAR05832
1558,MAR04546
1559,MAR07174
1560,MAR01468
1561,MAR11648
1562,MAR05432
1563,MAR03829
1564,MAR06725
1565,MAR05964
1566,MAR04212
1567,MAR09901
1568,MAR08141
1569,MAR03113
1570,MAR03741
1571,MAR03262
1572,MAR01551
1573,MAR11476
1574,MAR00237
1575,MAR05754
1576,MAR03194
1577,MAR00289
1578,MAR08560
1579,MAR11612
1580,MAR06476
1581,MAR10163
1582,MAR00789
1583,MAR01110
1584,MAR01509
1585,MAR06631
1586,MAR03654
1587,MAR01492
1588,MAR03497
1589,MAR00309
1590,MAR01739
1591,MAR06537
1592,MAR05608
1593,MAR02260
1594,MAR02186
1595,MAR03903
1596,MAR05069
1597,MAR00041
1598,MAR00898
1599,MAR10129
1600,MAR04770
1601,MAR12302
1602,MAR10146
1603,MAR00397
1604,MAR04512
1605,MAR00981
1606,MAR07017
1607,MAR01344
1608,MAR12270
1609,MAR03078
1610,MAR04453
1611,MAR11853
1612,MAR06010
1613,MAR07481
1614,MAR09818
1615,MAR04616
1616,MAR00243
1617,MAR04883
1618,MAR06003
1619,MAR00107
1620,MAR03916
1621,MAR04722
1622,MAR05589
1623,MAR07369
1624,MAR11224
1625,MAR03380
1626,MAR07595
1627,MAR04778
1628,MAR02682
1629,MAR03475
1630,MAR00217
1631,MAR09762
1632,MAR04590
1633,MAR03200
1634,MAR06785
1635,MAR00653
1636,MAR01166
1637,MAR05074
1638,MAR00321
1639,MAR12189
1640,MAR05602
1641,MAR00214
1642,MAR02559
1643,MAR00134
1644,MAR02980
1645,MAR07709
1646,MAR06676
1647,MAR03389
1648,MAR01999
1649,MAR02381
1650,MAR01115
1651,MAR03851
1652,MAR06569
1653,MAR10172
1654,MAR08352
1655,MAR04186
1656,MAR10059
1657,MAR05009
1658,MAR04199
1659,MAR09880
1660,MAR05698
1661,MAR00428
1662,MAR02321
1663,MAR08814
